Date, Station, Temperature, Pressure
2024-03-18,StationE,12.5,802.2
2025-02-02,StationD,1.8,806.4
2025-12-24,StationD,-22.3,1060.5
2024-11-05,StationC,-2.4,800.3
2025-07-01,StationA,37.5,891.6
2023-11-08,StationE,15.6,943.5
2025-11-01,StationD,31.0,1091.1
2024-09-11,StationC,0.8,918.2
2024-02-16,StationD,-7.8,824.0
2023-05-06,StationC,12.5,959.7
2023-02-24,StationD,-13.8,999.1
2024-06-30,StationC,35.9,1093.4
2025-03-26,StationA,38.9,1089.3
2023-05-27,StationA,-16.4,1001.4
2025-08-20,StationC,2.0,975.7
2025-07-24,StationE,-12.2,921.8
2025-11-27,StationC,-6.9,894.1
