Date,Station,Temperature,Pressure
2020-03-09,StationD,14.4,1023.6
2025-09-29,StationB,-6.6,1049.4
2025-09-19,StationA,27.2,1013.9
2023-05-04,StationD,-2.2,998.4
2020-11-04,StationB,26.4,1043.1
2023-04-15,StationD,5.5,992.7
2025-04-18,StationA,25.7,1023.8
2024-03-26,StationA,19.6,1026.5
2023-01-23,StationB,18.2,1049.2
2021-12-01,StationB,39.1,1023.7
2023-10-08,StationD,-6.4,1030.0
2022-08-23,StationB,-0.3,981.7
2020-05-05,StationB,35.8,1040.2
2020-02-09,StationB,7.1,1012.1
2021-12-17,StationE,18.8,1042.7
