Date,Station,Temperature,Pressure
2020-06-30,StationA,-7.9,998.2
2023-01-20,StationD,-4.7,1012.2
2020-03-03,StationC,29.6,1045.0
2024-09-27,StationC,29.9,993.9
2022-01-06,StationC,39.5,1012.0
2022-02-17,StationC,18.1,999.1
2021-11-30,StationE,19.7,999.2
2022-03-13,StationC,22.2,991.3
2021-09-25,StationC,-7.5,1039.0
2023-10-07,StationB,17.6,984.1
2023-03-07,StationE,5.4,1001.4
2025-04-26,StationC,-7.0,986.3
2023-07-22,StationE,32.8,1031.8
2020-02-18,StationC,25.8,1022.9
2023-10-13,StationC,22.2,1011.9
2022-08-24,StationA,1.8,1030.1
2021-07-03,StationA,1.0,1028.0
2020-09-14,StationD,18.9,1034.9
2022-08-13,StationC,31.9,1022.4
2025-12-07,StationB,12.1,1028.6
